CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
33522;Talence;9.4
33527;Le Teich;8.5
33529;La Teste-de-Buch;13.3
33550;Villenave-d'Ornon;8.8
34003;Agde;9.3
34022;Baillargues;7.5
34023;Balaruc-les-Bains;35.9
34028;Bédarieux;9.6
34031;Bessan;10.3
34032;Béziers;10.2
34052;Capestang;6.7
34057;Castelnau-le-Lez;19.2
34058;Castries;9.8
34077;Clapiers;11.9
34079;Clermont-l'Hérault;13.1
34088;Cournonterral;13.4
34090;Le Crès;12.9
34095;Fabrègues;16.8
34101;Florensac;4.4
34108;Frontignan;10.4
34111;Ganges;13.2
34113;Gigean;10.3
34114;Gignac;10.2
34120;Jacou;12.6
34123;Juvignac;9.6
34129;Lattes;16.8
34142;Lodève;10.8
34145;Lunel;11.1
34147;Magalas;9.3
34150;Marseillan;14.1
34151;Marsillargues;9.6
34154;Mauguio;11.9
34157;Mèze;7.8
34162;Montagnac;7.3
34172;Montpellier;11.7
34192;Palavas-les-Flots;11.9
34194;Paulhan;6.9
34198;Pérols;13.3
34199;Pézenas;10.8
34213;Poussan;7.1
34239;Saint-André-de-Sangonis;8.7
34245;Saint-Chinian;5.6
34247;Saint-Clément-de-Rivière;12.6
34255;Saint-Gély-du-Fesc;12.4
34270;Saint-Jean-de-Védas;12.9
34276;Saint-Mathieu-de-Tréviers;8.1
34284;Saint-Pons-de-Thomières;13.5
34299;Sérignan;6.7
34300;Servian;6
34301;Sète;12.4
34327;Vendargues;14.2
34332;Vias;8.7
34336;Villeneuve-lès-Béziers;9.2
34344;La Grande-Motte;12.2
35001;Acigné;8.5
35004;Antrain;16.9
35006;Argentré-du-Plessis;4.3
35012;Bain-de-Bretagne;8.7
35023;Bédée;9.4
35024;Betton;8.4
35047;Bruz;11.5
35049;Cancale;7.1
35051;Cesson-Sévigné;12.1
35055;Chantepie;7.6
35066;Chartres-de-Bretagne;7.3
